"","Module_hubs","Module_connectors","Nodes_total","Edges_total","main_C_nodes","main_C_edges","main_C_Mdegree","fit_to_power_law","Centralized_betweenness","Centralized_closeness","Centralized_eigenvector","Network_transitivity","Network_mean_shortest_path","Network_modularity","Mean_node_betweenness","Max_node_betweenness","Mean_edge_betweenness","Max_edge_betweenness","Mean_degree","Max_degree","N_positive_edges","N_negative_edges","Positive_to_negative_ratio","N_modules","Median_module_size","Max_module_size"
"Arabidopsis_thaliana.Root",2,5,396,300,155,270,1.74193548387097,0.714846594532294,0.0371138980233059,0.12947247348427,0.967522407863908,0.333333333333333,6.48809623256203,0.731488888888889,209.454545454545,3840,316.383333333333,3427,1.51515151515152,18,218,82,2.65853658536585,226,1,32
"Arabidopsis_thaliana.Soil",7,18,584,965,468,951,2.03205128205128,0.670062404882024,0.0611949884102763,0.188049838337132,0.953836911427179,0.246090009575487,5.71507781834152,0.629423608687482,1361.18321917808,28045,937.019689119171,15801,3.30479452054795,26,627,338,1.85502958579882,121,1,84
"Brassica_oleraceae.Root",0,2,448,345,177,314,1.77401129943503,0.997984216623628,0.044695757975574,0.17090317267295,0.968834219263919,0.332677165354331,6.10384541557361,0.757076244486451,261.033482142857,6316,384.266666666667,4124,1.54017857142857,14,259,86,3.01162790697674,251,1,30
"Brassica_oleraceae.Soil",7,33,553,989,432,969,2.24305555555556,0.973729817479547,0.0604418304512967,0.191834343619039,0.953713977392281,0.210346301838392,5.22041342281879,0.597632603737165,1082.71247739602,20549,699.560161779575,11158,3.57685352622061,31,628,361,1.73961218836565,122,1,76
