#sample-id	Plate_position	Sample_type	Plant_species	DNA_concentration_nanodrop	MeJA_treatment	Baseclear_order	Block	position	id_before	RNA_extract_ID_questionable	MYC2_at_fold_DD	lox2_at_fold_DD	bbch	bbch1	bbch2	width	length	leaf_area	number_fruits	leaf_dry_weight	inflorescence	ratio_inflorescence	ratio_leaf	ratio_good	Baseclear_DNA_concentration_ngul
34_Soil	C10	Soil	Brassica_oleraceae	13.3	oral_secretion	34	5	2	18	BO23	0.772889104	2.614738494	16	16	6	5.23	6.24	86.45		0.521			1.211627907	1.211627907	10.84
35_Soil	C11	Soil	Brassica_oleraceae	23.6	control	35	5	3	19	BO5	0.360565517	0.290511397	15_16	15	5.5	4.24	4.96	74.48		0.489			1	1	21.53
36_Soil	C12	Soil	Brassica_oleraceae	27.1	MeJA_0.1	36	5	4	20				15_16	15	5.5	3.88	5.66	72.28		0.476			1.106976744	1.106976744	21.73
37_Soil	D01	Soil	Arabidopsis_thaliana	10.08	MeJA_0.1	37	5	5	17	AT11	13.08021205	3.837056477							59	0.065	0.175	1.4	1.105442177	1.4	3.08
38_Soil	D02	Soil	Arabidopsis_thaliana	7.2	oral_secretion	38	5	6	20	AT23	0.482738576	0.737134609							65	0.049	0.159	1.272	0.833333333	1.272	0.98
39_Soil	D03	Soil	Arabidopsis_thaliana	4.39	MeJA_1.0	39	5	7	19										17	0.059	0.09	0.72	1.003401361	0.72	2.1
40_Soil	D04	Soil	Brassica_oleraceae	13.8	MeJA_1.0	40	5	8	17	BO17	2.408831256	7.193364285	15	15	5	4.15	5.36	63.31		0.378			0.879069767	0.879069767	8.86
41_Soil	D05	Soil	Arabidopsis_thaliana	9.77	MeJA_1.0	41	6	1	23	AT18	7.670464915	5.098242509							15	0.076	0.125	1	1.292517007	1	5.79
42_Soil	D06	Soil	Brassica_oleraceae	8.23	control	42	6	2	21	BO6	0.557998571	0.593231317	15_16	15	5.5	4.3	5.54	90.96		0.551			1	1	4.14
43_Soil	D07	Soil	Arabidopsis_thaliana	7.5	oral_secretion	43	6	3	24	AT24	1.494138643	3.97E-05							49	0.044	0.139	1.112	0.74829932	1.112	2.26
44_Soil	D08	Soil	Brassica_oleraceae	9.5	MeJA_0.1	44	6	4	24				15_16	15	5.5	4.82	5.33	69.49		0.458			1.065116279	1.065116279	7.35
45_Soil	D09	Soil	Arabidopsis_thaliana	6.2	control	45	6	5	21	AT6	0.244738678	0.411795509							58	0.059	0.177	1	1	1	1.46
46_Soil	D10	Soil	Brassica_oleraceae	11.9	MeJA_1.0	46	6	6	22				13_14	13	3.5	3.7	4.66	56.58		0.33			0.76744186	0.76744186	9.62
47_Soil	D11	Soil	Brassica_oleraceae	22.4	oral_secretion	47	6	7	23	BO24	0.502896471	1.194715135	15_16	15	5.5	3.98	4.69	74.05		0.41			0.953488372	0.953488372	15.94
48_Soil	D12	Soil	Arabidopsis_thaliana	11.2	MeJA_0.1	48	6	8	22	AT12	0.120684644	0.146604369							39	0.071	0.136	1.088	1.207482993	1.088	12.32
B1_Soil	E01	Soil	Blank	4.6	Blank	49	Blank	Blank	Blank																0
1_Root	E02	Root	Brassica_oleraceae	44.25	MeJA_1.0	50	1	1	4	BO13	0.535268008	2.138599997	14_15	14	4.5	3.76	4.96	45.36		0.204			0.474418605	0.474418605	38.15
2_Root	E03	Root	Arabidopsis_thaliana	15.87	MeJA_1.0	51	1	2	2	AT13	7.009512077	5.656854249							6	0.044	0.044	0.352	0.74829932	0.352	12.3
3_Root	E04	Root	Brassica_oleraceae	107	MeJA_0.1	52	1	3	2	BO7	0.45638818	1.51221856	15_16	15	5.5	3.94	5.07	75.45		0.368			0.855813953	0.855813953	87.85
4_Root	E05	Root	Arabidopsis_thaliana	13.98	control	53	1	4	4	AT1	1.59031662	2.042024251							18	0.048	0.07	1	1	1	11.32
6_Root	E06	Root	Brassica_oleraceae	219.8	oral_secretion	54	1	6	2	BO19	0.726146896	1.334839854	16_16	16	6	4.06	5.35	89.58		0.402			0.934883721	0.934883721	192
7_Root	E07	Root	Arabidopsis_thaliana	9.7	MeJA_0.1	55	1	7	3	AT7	1.692685591	2.203810232							27	0.062	0.1	0.8	1.054421769	0.8	7.15
8_Root	E08	Root	Arabidopsis_thaliana	19.77	oral_secretion	56	1	8	1	AT19	3.48054692	2.143546925							33	0.034	0.053	0.424	0.578231293	0.424	16.37
9_Root	E09	Root	Arabidopsis_thaliana	31.38	oral_secretion	57	2	1	5	AT20	5.772971182	4.0278222							29	0.069	0.129	1.032	1.173469388	1.032	26.85
10_Root	E10	Root	Brassica_oleraceae	105.2	control	58	2	2	6	BO2	0.816957727	0.695762422	16_17	16	6.5	3.93	4.71	70.69		0.341			1	1	85.76
